Event ID,Outlet,URL,title,description,maintext,date_publish,date_modify,date_download,image_url,language
0,LL,https://www.huffingtonpost.com/entry/mike-pompeo-kim-jong-un_us_5ad68f54e4b029ebe01ef17a,CIA Director Mike Pompeo Secretly Met With North Korean Leader Kim Jong Un,Donald Trump is planning to meet with the North Korean leader in the coming months.,"As Americans head to the polls in 2024, the very future of our country is at stake. At HuffPost, we believe that a free press is critical to creating well-informed voters. That's why our journalism is free for everyone, even though other newsrooms retreat behind expensive paywalls. Our journalists will continue to cover the twists and turns during this historic presidential election. With your help, we'll bring you hard-hitting investigations, well-researched analysis and timely takes you can't find elsewhere. Reporting in this current political climate is a responsibility we do not take lightly, and we thank you for your support. Contribute as little as $2 to keep our news free for all. Can't afford to donate? Support HuffPost by creating a free account and log in while you read.
The 2024 election is heating up, and women's rights, health care, voting rights, and the very future of democracy are all at stake. Donald Trump will face Joe Biden in the most consequential vote of our time. And HuffPost will be there, covering every twist and turn. America's future hangs in the balance. Would you consider contributing to support our journalism and keep it free for all during this critical season? HuffPost believes news should be accessible to everyone, regardless of their ability to pay for it. We rely on readers like you to help fund our work. Any contribution you can make — even as little as $2 — goes directly toward supporting the impactful journalism that we will continue to produce this year. Thank you for being part of our story. Can't afford to donate? Support HuffPost by creating a free account and log in while you read.
It's official: Donald Trump will face Joe Biden this fall in the presidential election. As we face the most consequential presidential election of our time, HuffPost is committed to bringing you up-to-date, accurate news about the 2024 race. While other outlets have retreated behind paywalls, you can trust our news will stay free. But we can't do it without your help. Reader funding is one of the key ways we support our newsroom. Would you consider making a donation to help fund our news during this critical time? Your contributions are vital to supporting a free press. Contribute as little as $2 to keep our journalism free and accessible to all. Can't afford to donate? Support HuffPost by creating a free account and log in while you read.
As Americans head to the polls in 2024, the very future of our country is at stake. At HuffPost, we believe that a free press is critical to creating well-informed voters. That's why our journalism is free for everyone, even though other newsrooms retreat behind expensive paywalls. Our journalists will continue to cover the twists and turns during this historic presidential election. With your help, we'll bring you hard-hitting investigations, well-researched analysis and timely takes you can't find elsewhere. Reporting in this current political climate is a responsibility we do not take lightly, and we thank you for your support. Contribute as little as $2 to keep our news free for all. Can't afford to donate? Support HuffPost by creating a free account and log in while you read.
Dear HuffPost Reader Thank you for your past contribution to HuffPost. We are sincerely grateful for readers like you who help us ensure that we can keep our journalism free for everyone. The stakes are high this year, and our 2024 coverage could use continued support. Would you consider becoming a regular HuffPost contributor?",2018-04-18 00:27:59,,2024-05-15 18:51:02,https://img.huffingtonpost.com/asset/5ad68fbb1f00002d0016d676.jpeg?ops=1200_630,en
0,L,https://www.nytimes.com/2018/04/17/world/asia/trump-japan-north-korea-summit-talks.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=first-column-region&region=top-news&WT.nav=top-news,"Mike Pompeo, C.I.A. Director, Met With Kim Jong-un in North Korea",The president alluded to the mission on Tuesday when he said that the United States was in direct talks with North Korea at “extremely high levels.”,"WEST PALM BEACH, Fla. — President Trump dispatched the C.I.A. director Mike Pompeo to North Korea to meet with its leader, Kim Jong-un, in recent weeks to lay the groundwork for a summit meeting between Mr. Kim and Mr. Trump, two people briefed on the secret trip said on Tuesday.
Mr. Trump alluded to Mr. Pompeo’s mission when he said on Tuesday afternoon that the United States was in direct talks with North Korea at “extremely high levels,” and that the White House was looking at five sites for a potential meeting of the two leaders.
The White House has used intelligence, rather than diplomatic channels, to communicate with North Korea, ever since last month, when Mr. Trump unexpectedly accepted Mr. Kim’s invitation to meet.
Mr. Pompeo, who is awaiting confirmation as secretary of state, has been dealing with North Korean representatives through a channel that runs between the C.I.A. and its North Korean counterpart, the Reconnaissance General Bureau, according to other officials. And he has been in close touch with the director of South Korea’s National Intelligence Service, Suh Hoon, who American officials said brokered Mr. Kim’s invitation to Mr. Trump.",2018-04-18 00:36:07,,2024-05-15 18:51:02,https://static01.nyt.com/images/2018/04/18/us/politics/18dc-prexy1/18dc-prexy1-facebookJumbo-v4.jpg?year=2018&h=550&w=1050&s=e0e972a0d87cdf7c2c7a53932dc3a324c4fb3542dd3cc0906ac04e8ad6766575&k=ZQJBKqZ0VN,en
0,R,http://www.foxnews.com/politics/2018/04/17/cia-director-mike-pompeo-met-with-kim-jong-un-over-easter-weekend.html,CIA Director Mike Pompeo met with Kim Jong Un over Easter weekend,"CIA Director Mike Pompeo met with North Korean dictator Kim Jong Un over Easter weekend in an effort to lay the groundwork for a summit between Kim and President Trump, Fox News has confirmed.","CIA Director Mike Pompeo met with North Korean dictator Kim Jong Un over Easter weekend in an effort to lay the groundwork for a summit between Kim and President Trump, Fox News has confirmed.
Pompeo's trip, which was first reported by The Washington Post, came to light hours after Trump told reporters that the U.S. and North Korea are holding direct talks at ""extremely high levels"" in preparation for what would be an extraordinary meeting following months of heated rhetoric over Pyongyang's nuclear weapons program.
Though the White House did not initially comment on the reports, Trump acknowledged the meeting in a Wednesday morning tweet, saying it went well.
""Mike Pompeo met with Kim Jong Un in North Korea last week. Meeting went very smoothly and a good relationship was formed. Details of Summit are being worked out now. Denuclearization will be a great thing for World, but also for North Korea!"" he tweeted.
Trump, who welcomed Japanese Prime Minister Shinzo Abe to his Florida resort Tuesday, said five locations for the potential summit are under consideration. The president would not disclose the sites but said the U.S. was not among them.
""We'll either have a very good meeting or we won't have a good meeting,"" Trump told reporters. ""And maybe we won't even have a meeting at all, depending on what's going in. But I think that there's a great chance to solve a world problem.""
The president did not answer shouted questions about whether he has spoken with Kim.
Kim's offer for a summit was initially conveyed to Trump by South Korea last month, and the president shocked many when it was announced that he had accepted. U.S. officials have indicated over the past two weeks that North Korea's government has communicated directly with Washington that it is ready to discuss its nuclear weapons program.
Abe, who has voiced fears that short- and medium-range missiles that pose a threat to Japan might not be part of the U.S. negotiations, praised Trump on Tuesday for his bravery in agreeing to meet with the North Korean dictator.
""I'd like to commend Donald's courage in his decision to have the upcoming summit meeting with the North Korean leader,"" Abe said.
Trump also confirmed that North and South Korea are working to negotiate an end to hostilities before next week's meeting between Kim and South Korean President Moon Jae In. The meeting will be the third inter-Korean summit since the Koreas' 1945 division.
North Korea has long sought a peace treaty with the U.S. to formally end the 1950-53 Korean War. But it is unusual for the North to seek to broach the issue directly with South Korea rather than with Washington. The armistice that ended the fighting was signed by the United Nations Command — the U.S.-led forces in the conflict — North Korea and China. South Korea was a member of the U.N. Command but was not a direct signatory.
Trump said Tuesday that the two Koreas ""have my blessing to discuss the end of the war.""
Fox News' John Roberts, Serafin Gomez and The Associated Press contributed to this report.",2018-04-17 22:15:00,,2024-05-15 18:51:03,http://media2.foxnews.com/BrightCove/694940094001/2018/04/18/694940094001_5772292267001_5772288528001-vs.jpg,en
0,RR,http://www.breitbart.com/big-government/2018/04/17/report-mike-pompeo-secretly-met-with-kim-jong-un-over-easter-weekend/,Report: Mike Pompeo Secretly Met with Kim Jong-un Over Easter Weekend,"CIA Director Mike Pompeo, now President Donald Trump’s nominee to serve as Secretary of State secretly traveled to North Korea over Easter weekend to meet with North Korean dictator Kim Jong-un.","CIA Director Mike Pompeo, now President Donald Trump’s nominee to serve as Secretary of State, secretly traveled to North Korea over Easter weekend to meet with North Korean dictator Kim Jong-un.
Pompeo made the trip for high-level talks to discuss the planned bilateral meeting with Trump later this year. The news was first reported by the Washington Post.
Trump announced on March 13 his decision to fire Rex Tillerson and replace him with Pompeo, but the CIA director is still waiting for a confirmation vote from the Senate. Tillerson left the State Department on March 22.
During his confirmation hearings on Thursday, Pompeo told U.S. Senators on the Senate Foreign Relations Committee that he was “optimistic” that the government could set Trump up for success.
The president hinted that “direct talks at very high levels” had already taken place with North Korea, while hosting Japanese Prime Minister Shinzo Abe at his Mar-a-Lago club in Florida.
He denied personally speaking to Jong-un via the White House press office.
Trump appeared eager to conclude a successful negotiation with North Korea, although he autioned that the meeting could be canceled at any time.
“There’s a great chance to solve a world problem,” He told reporters. “This is not a problem for the United States. This is not a problem for Japan or any other country. This is a problem for the world.”",2018-04-18 02:08:31,,2024-05-15 18:51:03,https://media.breitbart.com/media/2018/04/Kim-Jong-unPompeo.jpg,en
1,LL,https://www.huffingtonpost.com/entry/comey-memos-released_us_5ad93952e4b0e4d0715ecc05,Here Are The Redacted Copies Of The Comey Memos,"""He said he was grateful for the conversation, said more nice things about me and how he looks forward to working with me,"" Comey wrote of meeting with Trump.","As Americans head to the polls in 2024, the very future of our country is at stake. At HuffPost, we believe that a free press is critical to creating well-informed voters. That's why our journalism is free for everyone, even though other newsrooms retreat behind expensive paywalls. Our journalists will continue to cover the twists and turns during this historic presidential election. With your help, we'll bring you hard-hitting investigations, well-researched analysis and timely takes you can't find elsewhere. Reporting in this current political climate is a responsibility we do not take lightly, and we thank you for your support. Contribute as little as $2 to keep our news free for all. Can't afford to donate? Support HuffPost by creating a free account and log in while you read.
The 2024 election is heating up, and women's rights, health care, voting rights, and the very future of democracy are all at stake. Donald Trump will face Joe Biden in the most consequential vote of our time. And HuffPost will be there, covering every twist and turn. America's future hangs in the balance. Would you consider contributing to support our journalism and keep it free for all during this critical season? HuffPost believes news should be accessible to everyone, regardless of their ability to pay for it. We rely on readers like you to help fund our work. Any contribution you can make — even as little as $2 — goes directly toward supporting the impactful journalism that we will continue to produce this year. Thank you for being part of our story. Can't afford to donate? Support HuffPost by creating a free account and log in while you read.
It's official: Donald Trump will face Joe Biden this fall in the presidential election. As we face the most consequential presidential election of our time, HuffPost is committed to bringing you up-to-date, accurate news about the 2024 race. While other outlets have retreated behind paywalls, you can trust our news will stay free. But we can't do it without your help. Reader funding is one of the key ways we support our newsroom. Would you consider making a donation to help fund our news during this critical time? Your contributions are vital to supporting a free press. Contribute as little as $2 to keep our journalism free and accessible to all. Can't afford to donate? Support HuffPost by creating a free account and log in while you read.
As Americans head to the polls in 2024, the very future of our country is at stake. At HuffPost, we believe that a free press is critical to creating well-informed voters. That's why our journalism is free for everyone, even though other newsrooms retreat behind expensive paywalls. Our journalists will continue to cover the twists and turns during this historic presidential election. With your help, we'll bring you hard-hitting investigations, well-researched analysis and timely takes you can't find elsewhere. Reporting in this current political climate is a responsibility we do not take lightly, and we thank you for your support. Contribute as little as $2 to keep our news free for all. Can't afford to donate? Support HuffPost by creating a free account and log in while you read.
Dear HuffPost Reader Thank you for your past contribution to HuffPost. We are sincerely grateful for readers like you who help us ensure that we can keep our journalism free for everyone. The stakes are high this year, and our 2024 coverage could use continued support. Would you consider becoming a regular HuffPost contributor?",2018-04-20 01:06:57,,2024-05-15 18:51:03,https://img.huffingtonpost.com/asset/5ad93b272000002d00eb52e4.jpeg?cache=jyw8Aynoqr&ops=1200_630,en
1,L,https://www.nytimes.com/2018/04/19/us/politics/comey-memos-trump-justice-department.html,Comey Memos Provide Intimate Look Into Trump Presidency,"The memos, which had been redacted, detail phone calls and encounters between President Trump and James B. Comey, the former F.B.I. director.","WASHINGTON — President Trump spoke in intimate and candid terms to the former F.B.I. director James Comey about some of the most sensitive matters before the agency, including the salacious dossier detailing Mr. Trump’s ties to Russia and the investigation into Michael T. Flynn, the president’s first national security adviser, according to Mr. Comey’s closely guarded memos.
The redacted and declassified memos — running 15 pages in total, and sent to Congress from the Justice Department on Thursday night — detail a series of phone calls and encounters between the two men in the months leading up to Mr. Comey’s firing. They offer an extraordinary look at the private interactions among leaders at the highest levels of government.
[Read the memos here.]
Mr. Trump seized on the memos in a Twitter message posted late Thursday to repeat what has become a constant refrain, that there was “NO COLLUSION and NO OBSTRUCTION.”",2018-04-20 02:13:45,,2024-05-15 18:51:04,https://static01.nyt.com/images/2018/04/21/us/politics/21dc-comey-takaways/21dc-comeyexcerpts-facebookJumbo.jpg?year=2018&h=549&w=1050&s=96d52f40c0a956c29ecf4addf75b6243f431a62abed1b732c8833ba4ff8323cf&k=ZQJBKqZ0VN,en
1,R,http://www.foxnews.com/politics/2018/04/20/trump-tweets-that-comey-memos-clearly-show-no-obstruction-collusion.html,"Trump tweets that Comey memos ‘clearly’ show no obstruction, collusion",Memos written by former FBI Director James Comey about his interactions with President Trump showed that the president repeatedly asked Comey to make public that he was not under investigation over contacts between Russian officials and members of his campaign.,"President Trump late Thursday tweeted that the newly released memos written by former FBI Director James Comey “show clearly” no collusion with Russia in 2016 and no obstruction into the investigation.
The memos, which were written by Comey about his interaction with Trump, prove that the fired FBI director never felt obstructed, GOP lawmakers said. Many Democrats claim that Trump tried to hold up the FBI’s investigation into alleged collusion leading up to the 2016 election.
“James Comey Memos just out show clearly that there was NO COLLUSION and NO OBSTRUCTION. Also, he leaked classified information. WOW! Will the Witch Hunt continue?” Trump tweeted.
The memos also showed that eight days after he was sworn in as president, Trump told Comey during a one-on-one dinner at the White House that he ""needed loyalty and expected loyalty.""
Comey wrote that he ""did not reply, or even nod or change my facial expression, which [Trump] noted because we came back to it later."" At a later point, Comey wrote that Trump told him directly, ""I need loyalty.""
""I replied that he would always get honesty from me,"" said Comey. ""[Trump] paused and said that's what he wants, 'honest loyalty.' I replied, 'you will get that from me.'""
""It is possible we understood that phrase differently,"" Comey added as a parenthetical, ""but I chose to understand it as consistent with what I had said throughout the conversation: I will serve the President with loyalty to the office, the country, and the truth. I decided it would not be productive to push the subject further.""
More than two months later, on March 30, Comey wrote that Trump had called him and pressed the FBI director to make public that the president was not under investigation over contacts between Russian officials and members of his campaign.
""I reminded [Trump] that I had told him we weren't investigating him and that I had told the Congressional leadership the same thing,"" Comey wrote. ""[Trump] said it would be great if that could get out and several times asked me to find a way to get that out.""
House Judiciary Committee Chairman Bob Goodlatte, R-Va.; House Oversight Committee Chairman Trey Gowdy, R-S.C.; and House Intelligence Committee Chairman Devin Nunes, R-Calif., said in a joint statement that Comey's memos ""show the President made clear he wanted allegations of collusion, coordination, and conspiracy between his campaign and Russia fully investigated.
""The memos also made clear the 'cloud' President Trump wanted lifted was not the Russian interference in the 2016 election cloud, rather it was the salacious, unsubstantiated allegations related to personal conduct leveled in the dossier"" compiled by ex-British spy Christopher Steele, they added.
House Minority Leader Nancy Pelosi, D-Calif., disagreed, tweeting that the memos ""are further proof of [Trump's] contempt for the rule of law.
""His attempts to intimidate, circumvent the law & undermine integrity of law enforcement investigations demand immediate action to protect the Mueller investigation,"" she said.
The assurance from Comey that Trump was not being investigated seemed to have weighed on the president's mind as Michael Flynn was fired as national security adviser after misleading Vice President Mike Pence about contacts with the Russian envoy to the U.S.
Trump told Comey during their March 30 conversation that ""if there was 'some satellite' (NOTE: I took this to mean some associate of his or his campaign) that did something, it would be good to find that out, but that he hadn't done anything,"" Comey recalled.
Comey said Trump restated at the end of their conversation that the president ""hoped I could find a way to get out that he wasn't being investigated.
""I told him I would see what we could do and that we would do the work well and as quickly as we could,"" Comey said he responded.
Goodlatte, Gowdy and Nunes noted that Comey ""never wrote that he felt obstructed or threatened,"" adding that while Comey ""went to great lengths to set dining room scenes, discuss height requirements, describe the multiple times he felt complimented, and myriad other extraneous facts, he never once mentioned the most relevant fact of all, which was whether he felt obstructed in his investigation.""
Trump called Comey again on April 11 to ask ""if I did what he had asked last time -- getting out that he personally is not under investigation."" Comey says he advised Trump to have White House Counsel Don McGahn call then-Acting Attorney General Dana Boente to request that such a statement be made.
After Trump said he would do so, Comey said the president told him, ""I have been very loyal to you, very loyal, we had that thing, you know.""
""I did not reply, or ask him what he meant by 'that thing,'"" wrote Comey, who added that as Trump ended the call, the president told him he was ""doing a great job and wished me well.""
During their Jan. 27 dinner in the Green Room, Comey wrote that Trump ""thought maybe he should ask me to investigate"" salacious allegations ""to prove [the dossier] was a lie.""
Comey wrote that ""it was up to [Trump], but I wouldn't want to create a narrative that we were investigating him, because we are not and I worried such a thing would be misconstrued.""
""My sense is that [the president] was focused on the personal piece [of the dossier],"" Comey told MSNBC Thursday night. ""He would bring it up to me repeatedly.""
Fox News' Chad Pergram and Edmund DeMarche contributed to this report.",2018-04-20 00:00:00,,2024-05-15 18:51:04,http://media2.foxnews.com/BrightCove/694940094001/2018/04/20/694940094001_5773553406001_5773552601001-vs.jpg,en
1,RR,http://www.breitbart.com/big-government/2018/04/19/donald-trump-comey-memos-show-he-leaked-classified-information/,Donald Trump: Comey Memos Show ‘He Leaked Classified Information’,"President Donald Trump commented on the public release of the memos by former FBI director James Comey, asserting that they proved that he leaked classified information.","President Donald Trump commented on the public release of the memos by former FBI director James Comey, asserting that they proved that he leaked classified information.
“James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION,” Trump wrote on Twitter. “Also, he leaked classified information. WOW! Will the Witch Hunt continue?”
The 15 pages of Comey’s memos include details not included in the former FBI director’s book and were released by Republican Congressional intelligence officials on Thursday night.
“Former Director Comey never wrote that he felt obstructed or threatened,” read a joint statement from House Judiciary Chairman Bob Goodlatte, House Oversight Chairman Trey Gowdy, and House Intelligence Chairman Devin Nunes upon the declassified release of the memos. “While former Director Comey went to great lengths to set dining room scenes, discuss height requirements, describe the multiple times he felt complimented, and myriad other extraneous facts, he never once mentioned the most relevant fact of all, which was whether he felt obstructed in his investigation.”
Despite the memos’ declassification, some of the material was redacted, raising questions about whether Comey leaked classified information to a private citizen in the hopes of sparking a special prosecutor of the Russian investigation.
The Republican officials noted that Comey held Trump to a different standard, by writing detailed memos about his conversations with Trump, while failing to do the same for conversations with Democrats.
“Former Director Comey leaked at least one of these memos for the stated purpose of spurring the appointment of Special Counsel, yet he took no steps to spur the appointment of Special Counsel when he had significant concerns about the objectivity of the Department of Justice under Attorney General Loretta Lynch,” the statement read.",2018-04-20 04:49:50,,2024-05-15 18:51:05,https://media.breitbart.com/media/2017/06/jc.png,en
2,LL,https://www.huffingtonpost.com/entry/north-korea-suspends-nuclear-missile-test_us_5ada67f0e4b009869bf965e2,North Korea Suspends Nuclear And Missile Tests: State Media,Pyongyang also said it plans to close down a former test site.,"As Americans head to the polls in 2024, the very future of our country is at stake. At HuffPost, we believe that a free press is critical to creating well-informed voters. That's why our journalism is free for everyone, even though other newsrooms retreat behind expensive paywalls. Our journalists will continue to cover the twists and turns during this historic presidential election. With your help, we'll bring you hard-hitting investigations, well-researched analysis and timely takes you can't find elsewhere. Reporting in this current political climate is a responsibility we do not take lightly, and we thank you for your support. Contribute as little as $2 to keep our news free for all. Can't afford to donate? Support HuffPost by creating a free account and log in while you read.
The 2024 election is heating up, and women's rights, health care, voting rights, and the very future of democracy are all at stake. Donald Trump will face Joe Biden in the most consequential vote of our time. And HuffPost will be there, covering every twist and turn. America's future hangs in the balance. Would you consider contributing to support our journalism and keep it free for all during this critical season? HuffPost believes news should be accessible to everyone, regardless of their ability to pay for it. We rely on readers like you to help fund our work. Any contribution you can make — even as little as $2 — goes directly toward supporting the impactful journalism that we will continue to produce this year. Thank you for being part of our story. Can't afford to donate? Support HuffPost by creating a free account and log in while you read.
It's official: Donald Trump will face Joe Biden this fall in the presidential election. As we face the most consequential presidential election of our time, HuffPost is committed to bringing you up-to-date, accurate news about the 2024 race. While other outlets have retreated behind paywalls, you can trust our news will stay free. But we can't do it without your help. Reader funding is one of the key ways we support our newsroom. Would you consider making a donation to help fund our news during this critical time? Your contributions are vital to supporting a free press. Contribute as little as $2 to keep our journalism free and accessible to all. Can't afford to donate? Support HuffPost by creating a free account and log in while you read.
As Americans head to the polls in 2024, the very future of our country is at stake. At HuffPost, we believe that a free press is critical to creating well-informed voters. That's why our journalism is free for everyone, even though other newsrooms retreat behind expensive paywalls. Our journalists will continue to cover the twists and turns during this historic presidential election. With your help, we'll bring you hard-hitting investigations, well-researched analysis and timely takes you can't find elsewhere. Reporting in this current political climate is a responsibility we do not take lightly, and we thank you for your support. Contribute as little as $2 to keep our news free for all. Can't afford to donate? Support HuffPost by creating a free account and log in while you read.
Dear HuffPost Reader Thank you for your past contribution to HuffPost. We are sincerely grateful for readers like you who help us ensure that we can keep our journalism free for everyone. The stakes are high this year, and our 2024 coverage could use continued support. Would you consider becoming a regular HuffPost contributor?",2018-04-20 22:32:12,,2024-05-15 18:51:05,https://img.huffingtonpost.com/asset/5ada68bc1800004800e880ca.jpeg?cache=KIY5Gfi7lh&ops=1200_630,en
2,L,https://www.nytimes.com/2018/04/20/world/asia/kim-jong-un-hotline-korea.html,"‘We No Longer Need’ Nuclear or Missile Tests, North Korean Leader Says",The announcement by Kim Jong-un came less than a week before he meets with the president of South Korea.,"SEOUL, South Korea — North Korea’s leader, Kim Jong-un, announced early Saturday that his country no longer needed to test nuclear weapons or long-range missiles and would close a nuclear test site.
“The nuclear test site has done its job,” Mr. Kim said in a statement carried by North Korea’s state media.
Mr. Kim’s announcement came just days before a scheduled summit meeting with President Moon Jae-in of South Korea; Mr. Kim is also planning to meet with President Trump soon. It was the second time in two days that he made what appeared to be a significant concession to the United States but in reality cemented the status quo. North Korea already had stopped testing its weapons.
Mr. Kim made no mention in his latest remarks of dismantling the nuclear weapons and long-range missiles North Korea has already built. On the contrary, he suggested he was going to keep them.",2018-04-20 09:20:40,,2024-05-15 18:51:05,https://static01.nyt.com/images/2018/04/21/world/21korea-1sub/21korea-1sub-facebookJumbo.jpg?year=2018&h=550&w=1050&s=6c8a1cfb836be17b8d50f4699a5b39c05f53eb1d89a72e7528c84209101b1deb&k=ZQJBKqZ0VN,en
